0,undefined
172.21.64.1,undefined
145.94.121.156,NL
142.251.36.36,NL
142.250.179.196,NL
142.251.36.14,NL
216.58.214.4,NL
142.250.179.132,NL
142.250.179.164,NL
142.251.36.46,NL
142.250.179.142,NL
142.250.179.206,NL
172.217.168.196,NL
142.250.179.174,NL
145.94.121.39,NL
142.250.179.209,NL
142.251.39.113,NL
142.250.179.177,NL
216.58.214.14,NL
108.156.60.49,NL
108.156.60.127,NL
108.156.60.53,NL
192.38.84.35,DK
80.112.172.60,NL
145.94.125.97,NL
146.75.121.164,DE
142.250.27.92,NL
142.251.39.110,NL
209.126.119.224,US
54.73.174.150,IE
13.227.219.4,NL
108.156.61.184,NL
108.156.61.132,NL
108.156.61.92,NL
18.65.39.57,NL
216.58.214.3,NL
142.250.179.131,NL
172.217.168.195,NL
142.251.36.3,NL
209.126.119.177,US
216.239.34.178,US
34.160.98.65,US
142.250.27.157,NL
151.101.129.69,US
151.101.65.69,US
142.250.179.138,NL
142.250.179.193,NL
192.0.73.2,US
216.58.208.98,NL
142.250.179.200,NL
142.251.36.34,NL
151.101.193.69,US
216.239.32.36,US
142.251.39.98,NL
142.251.36.33,NL
142.250.179.214,NL
142.250.102.154,NL
142.251.36.1,NL
199.232.148.193,NL
216.239.34.36,US
142.250.179.130,NL
142.250.179.129,NL
142.251.39.99,NL
142.250.179.195,NL
185.199.111.154,US
185.199.110.154,US
140.82.121.4,DE
185.199.108.154,US
140.82.121.6,DE
140.82.113.22,US
3.251.22.13,IE
142.250.27.155,NL
34.111.242.42,US
142.250.27.154,NL
